index,Tanggal,Musim,Tahun,Bulan,Hari,Libur,Kerja,Cuaca,Suhu,Suhu_Terasa,Kategori_Suhu_Terasa,Kelembapan,Kategori_Kelembapan,Kecepatan_Angin,Kategori_Angin,Non_member,Member,Total
1,2011-01-01,Musim Dingin,2011,Januari,Sabtu,Tidak,Tidak,Kabut/Berawan,14.110847,18.18125,Nyaman,80.58330000000001,Sangat Lembap,10.749882,Sepoi Sepoi,331,654,985
2,2011-01-02,Musim Dingin,2011,Januari,Minggu,Tidak,Tidak,Kabut/Berawan,14.902598000000001,17.686950000000003,Nyaman,69.6087,Lembap,16.652113,Sepoi Sepoi,131,670,801
3,2011-01-03,Musim Dingin,2011,Januari,Senin,Tidak,Ya,Cerah/Berawan,8.050924,9.47025,Dingin,43.7273,Nyaman,16.636703,Sepoi Sepoi,120,1229,1349
4,2011-01-04,Musim Dingin,2011,Januari,Selasa,Tidak,Ya,Cerah/Berawan,8.200000000000001,10.6061,Dingin,59.0435,Nyaman,10.739832,Sepoi Sepoi,108,1454,1562
5,2011-01-05,Musim Dingin,2011,Januari,Rabu,Tidak,Ya,Cerah/Berawan,9.305237,11.4635,Dingin,43.695699999999995,Nyaman,12.522300000000001,Sepoi Sepoi,82,1518,1600
6,2011-01-06,Musim Dingin,2011,Januari,Kamis,Tidak,Ya,Cerah/Berawan,8.378268,11.66045,Dingin,51.8261,Nyaman,6.0008684,Tenang,88,1518,1606
7,2011-01-07,Musim Dingin,2011,Januari,Jumat,Tidak,Ya,Kabut/Berawan,8.057402,10.44195,Dingin,49.8696,Nyaman,11.304642,Sepoi Sepoi,148,1362,1510
8,2011-01-08,Musim Dingin,2011,Januari,Sabtu,Tidak,Tidak,Kabut/Berawan,6.765000000000001,8.1127,Dingin,53.5833,Nyaman,17.875868,Sepoi Sepoi,68,891,959
9,2011-01-09,Musim Dingin,2011,Januari,Minggu,Tidak,Tidak,Cerah/Berawan,5.671653,5.80875,Dingin,43.416700000000006,Nyaman,24.25065,Sedang,54,768,822
10,2011-01-10,Musim Dingin,2011,Januari,Senin,Tidak,Ya,Cerah/Berawan,6.184153,7.5443999999999996,Dingin,48.2917,Nyaman,14.958889,Sepoi Sepoi,41,1280,1321
11,2011-01-11,Musim Dingin,2011,Januari,Selasa,Tidak,Ya,Kabut/Berawan,6.9327309999999995,9.5732,Dingin,68.6364,Lembap,8.182844000000001,Tenang,43,1220,1263
12,2011-01-12,Musim Dingin,2011,Januari,Rabu,Tidak,Ya,Cerah/Berawan,7.0818069999999995,8.02365,Dingin,59.954499999999996,Nyaman,20.410009,Sedang,25,1137,1162
13,2011-01-13,Musim Dingin,2011,Januari,Kamis,Tidak,Ya,Cerah/Berawan,6.765000000000001,7.544149999999999,Dingin,47.0417,Nyaman,20.166999999999998,Sedang,38,1368,1406
14,2011-01-14,Musim Dingin,2011,Januari,Jumat,Tidak,Ya,Cerah/Berawan,6.59567,9.42065,Dingin,53.7826,Nyaman,8.478716,Tenang,54,1367,1421
