,index,Tanggal,Musim,Tahun,Bulan,Hari,Jam,Kategori_Jam,Libur,Kerja,Cuaca,Suhu,Suhu_Terasa,Kategori_Suhu_Terasa,Kelembapan,Kategori_Kelembapan,Kecepatan_Angin,Kategori_Angin,Non_member,Member,Total
0,1,2011-01-01,Musim Semi,2011,Januari,Jumat,0,Dini Hari,Ya,Tidak,Cerah/Berawan,9.84,14.395,Dingin,81.0,Sangat Lembap,0.0,Tenang,3,13,16
1,2,2011-01-01,Musim Semi,2011,Januari,Jumat,1,Dini Hari,Ya,Tidak,Cerah/Berawan,9.02,13.635,Dingin,80.0,Sangat Lembap,0.0,Tenang,8,32,40
2,3,2011-01-01,Musim Semi,2011,Januari,Jumat,2,Dini Hari,Ya,Tidak,Cerah/Berawan,9.02,13.635,Dingin,80.0,Sangat Lembap,0.0,Tenang,5,27,32
3,4,2011-01-01,Musim Semi,2011,Januari,Jumat,3,Dini Hari,Ya,Tidak,Cerah/Berawan,9.84,14.395,Dingin,75.0,Lembap,0.0,Tenang,3,10,13
4,5,2011-01-01,Musim Semi,2011,Januari,Jumat,4,Dini Hari,Ya,Tidak,Cerah/Berawan,9.84,14.395,Dingin,75.0,Lembap,0.0,Tenang,0,1,1
5,6,2011-01-01,Musim Semi,2011,Januari,Jumat,5,Dini Hari,Ya,Tidak,Kabut/Berawan,9.84,12.879999999999999,Dingin,75.0,Lembap,6.0032,Tenang,0,1,1
6,7,2011-01-01,Musim Semi,2011,Januari,Jumat,6,Pagi,Ya,Tidak,Cerah/Berawan,9.02,13.635,Dingin,80.0,Sangat Lembap,0.0,Tenang,2,0,2
7,8,2011-01-01,Musim Semi,2011,Januari,Jumat,7,Pagi,Ya,Tidak,Cerah/Berawan,8.200000000000001,12.879999999999999,Dingin,86.0,Ekstrem Lembap,0.0,Tenang,1,2,3
8,9,2011-01-01,Musim Semi,2011,Januari,Jumat,8,Pagi,Ya,Tidak,Cerah/Berawan,9.84,14.395,Dingin,75.0,Lembap,0.0,Tenang,1,7,8
9,10,2011-01-01,Musim Semi,2011,Januari,Jumat,9,Pagi,Ya,Tidak,Cerah/Berawan,13.120000000000001,17.424999999999997,Nyaman,76.0,Sangat Lembap,0.0,Tenang,8,6,14
10,11,2011-01-01,Musim Semi,2011,Januari,Jumat,10,Pagi,Ya,Tidak,Cerah/Berawan,15.58,19.695,Nyaman,76.0,Sangat Lembap,16.997899999999998,Sepoi Sepoi,12,24,36
11,12,2011-01-01,Musim Semi,2011,Januari,Jumat,11,Pagi,Ya,Tidak,Cerah/Berawan,14.76,16.665,Nyaman,81.0,Sangat Lembap,19.0012,Sepoi Sepoi,26,30,56
12,13,2011-01-01,Musim Semi,2011,Januari,Jumat,12,Siang,Ya,Tidak,Cerah/Berawan,17.22,21.21,Nyaman,77.0,Sangat Lembap,19.0012,Sepoi Sepoi,29,55,84
13,14,2011-01-01,Musim Semi,2011,Januari,Jumat,13,Siang,Ya,Tidak,Kabut/Berawan,18.86,22.725,Nyaman,72.0,Lembap,19.999499999999998,Sepoi Sepoi,47,47,94
14,15,2011-01-01,Musim Semi,2011,Januari,Jumat,14,Siang,Ya,Tidak,Kabut/Berawan,18.86,22.725,Nyaman,72.0,Lembap,19.0012,Sepoi Sepoi,35,71,106
15,16,2011-01-01,Musim Semi,2011,Januari,Jumat,15,Siang,Ya,Tidak,Kabut/Berawan,18.04,21.97,Nyaman,77.0,Sangat Lembap,19.999499999999998,Sepoi Sepoi,40,70,110
16,17,2011-01-01,Musim Semi,2011,Januari,Jumat,16,Sore,Ya,Tidak,Kabut/Berawan,17.22,21.21,Nyaman,82.0,Sangat Lembap,19.999499999999998,Sepoi Sepoi,41,52,93
17,18,2011-01-01,Musim Semi,2011,Januari,Jumat,17,Sore,Ya,Tidak,Kabut/Berawan,18.04,21.97,Nyaman,82.0,Sangat Lembap,19.0012,Sepoi Sepoi,15,52,67
18,19,2011-01-01,Musim Semi,2011,Januari,Jumat,18,Sore,Ya,Tidak,Hujan/Salju Ringan,17.22,21.21,Nyaman,88.0,Ekstrem Lembap,16.997899999999998,Sepoi Sepoi,9,26,35
19,20,2011-01-01,Musim Semi,2011,Januari,Jumat,19,Malam,Ya,Tidak,Hujan/Salju Ringan,17.22,21.21,Nyaman,88.0,Ekstrem Lembap,16.997899999999998,Sepoi Sepoi,6,31,37
20,21,2011-01-01,Musim Semi,2011,Januari,Jumat,20,Malam,Ya,Tidak,Kabut/Berawan,16.400000000000002,20.455000000000002,Nyaman,87.0,Ekstrem Lembap,16.997899999999998,Sepoi Sepoi,11,25,36
21,22,2011-01-01,Musim Semi,2011,Januari,Jumat,21,Malam,Ya,Tidak,Kabut/Berawan,16.400000000000002,20.455000000000002,Nyaman,87.0,Ekstrem Lembap,12.998000000000001,Sepoi Sepoi,3,31,34
22,23,2011-01-01,Musim Semi,2011,Januari,Jumat,22,Malam,Ya,Tidak,Kabut/Berawan,16.400000000000002,20.455000000000002,Nyaman,94.0,Ekstrem Lembap,15.001299999999999,Sepoi Sepoi,11,17,28
23,24,2011-01-01,Musim Semi,2011,Januari,Jumat,23,Malam,Ya,Tidak,Kabut/Berawan,18.86,22.725,Nyaman,88.0,Ekstrem Lembap,19.999499999999998,Sepoi Sepoi,15,24,39
24,25,2011-01-02,Musim Semi,2011,Januari,Sabtu,0,Dini Hari,Tidak,Tidak,Kabut/Berawan,18.86,22.725,Nyaman,88.0,Ekstrem Lembap,19.999499999999998,Sepoi Sepoi,4,13,17
25,26,2011-01-02,Musim Semi,2011,Januari,Sabtu,1,Dini Hari,Tidak,Tidak,Kabut/Berawan,18.04,21.97,Nyaman,94.0,Ekstrem Lembap,16.997899999999998,Sepoi Sepoi,1,16,17
26,27,2011-01-02,Musim Semi,2011,Januari,Sabtu,2,Dini Hari,Tidak,Tidak,Kabut/Berawan,17.22,21.21,Nyaman,100.0,Ekstrem Lembap,19.0012,Sepoi Sepoi,1,8,9
27,28,2011-01-02,Musim Semi,2011,Januari,Sabtu,3,Dini Hari,Tidak,Tidak,Kabut/Berawan,18.86,22.725,Nyaman,94.0,Ekstrem Lembap,12.998000000000001,Sepoi Sepoi,2,4,6
28,29,2011-01-02,Musim Semi,2011,Januari,Sabtu,4,Dini Hari,Tidak,Tidak,Kabut/Berawan,18.86,22.725,Nyaman,94.0,Ekstrem Lembap,12.998000000000001,Sepoi Sepoi,2,1,3
17379,30,2011-01-02,Musim Semi,2011,Januari,Sabtu,5,Dini Hari,Tidak,Tidak,Kabut/Berawan,18.86,22.725,Nyaman,94.0,Ekstrem Lembap,12.998000000000001,Sepoi Sepoi,1,6,8
29,31,2011-01-02,Musim Semi,2011,Januari,Sabtu,6,Pagi,Tidak,Tidak,Hujan/Salju Ringan,17.22,21.21,Nyaman,77.0,Sangat Lembap,19.999499999999998,Sepoi Sepoi,0,2,2
30,32,2011-01-02,Musim Semi,2011,Januari,Sabtu,7,Pagi,Tidak,Tidak,Kabut/Berawan,16.400000000000002,20.455000000000002,Nyaman,76.0,Sangat Lembap,12.998000000000001,Sepoi Sepoi,0,1,1
31,33,2011-01-02,Musim Semi,2011,Januari,Sabtu,8,Pagi,Tidak,Tidak,Hujan/Salju Ringan,16.400000000000002,20.455000000000002,Nyaman,71.0,Lembap,15.001299999999999,Sepoi Sepoi,0,8,8
32,34,2011-01-02,Musim Semi,2011,Januari,Sabtu,9,Pagi,Tidak,Tidak,Kabut/Berawan,15.58,19.695,Nyaman,76.0,Sangat Lembap,15.001299999999999,Sepoi Sepoi,1,19,20
33,35,2011-01-02,Musim Semi,2011,Januari,Sabtu,10,Pagi,Tidak,Tidak,Kabut/Berawan,14.76,17.424999999999997,Nyaman,81.0,Sangat Lembap,15.001299999999999,Sepoi Sepoi,7,46,53
34,36,2011-01-02,Musim Semi,2011,Januari,Sabtu,11,Pagi,Tidak,Tidak,Kabut/Berawan,14.76,16.665,Nyaman,71.0,Lembap,16.997899999999998,Sepoi Sepoi,16,54,70
35,37,2011-01-02,Musim Semi,2011,Januari,Sabtu,12,Siang,Tidak,Tidak,Kabut/Berawan,14.76,16.665,Nyaman,66.0,Lembap,19.999499999999998,Sepoi Sepoi,20,73,93
36,38,2011-01-02,Musim Semi,2011,Januari,Sabtu,13,Siang,Tidak,Tidak,Kabut/Berawan,14.76,17.424999999999997,Nyaman,66.0,Lembap,8.9981,Tenang,11,64,75
37,39,2011-01-02,Musim Semi,2011,Januari,Sabtu,14,Siang,Tidak,Tidak,Hujan/Salju Ringan,14.76,17.424999999999997,Nyaman,76.0,Sangat Lembap,12.998000000000001,Sepoi Sepoi,4,55,59
38,40,2011-01-02,Musim Semi,2011,Januari,Sabtu,15,Siang,Tidak,Tidak,Hujan/Salju Ringan,13.940000000000001,16.665,Nyaman,81.0,Sangat Lembap,11.0014,Sepoi Sepoi,19,55,74
39,41,2011-01-02,Musim Semi,2011,Januari,Sabtu,16,Sore,Tidak,Tidak,Hujan/Salju Ringan,13.940000000000001,16.665,Nyaman,71.0,Lembap,11.0014,Sepoi Sepoi,9,67,76
40,42,2011-01-02,Musim Semi,2011,Januari,Sabtu,17,Sore,Tidak,Tidak,Cerah/Berawan,13.940000000000001,16.665,Nyaman,56.99999999999999,Nyaman,12.998000000000001,Sepoi Sepoi,7,58,65
41,43,2011-01-02,Musim Semi,2011,Januari,Sabtu,18,Sore,Tidak,Tidak,Kabut/Berawan,14.76,16.665,Nyaman,46.0,Nyaman,22.0028,Sedang,10,43,53
42,44,2011-01-02,Musim Semi,2011,Januari,Sabtu,19,Malam,Tidak,Tidak,Cerah/Berawan,13.120000000000001,14.395,Dingin,42.0,Nyaman,30.002599999999997,Sedang,1,29,30
43,45,2011-01-02,Musim Semi,2011,Januari,Sabtu,20,Malam,Tidak,Tidak,Cerah/Berawan,12.299999999999999,13.635,Dingin,39.0,Kering,23.9994,Sedang,5,17,22
44,46,2011-01-02,Musim Semi,2011,Januari,Sabtu,21,Malam,Tidak,Tidak,Cerah/Berawan,10.66,11.365,Dingin,44.0,Nyaman,22.0028,Sedang,11,20,31
45,47,2011-01-02,Musim Semi,2011,Januari,Sabtu,22,Malam,Tidak,Tidak,Cerah/Berawan,9.84,10.605,Dingin,44.0,Nyaman,19.999499999999998,Sepoi Sepoi,0,9,9
46,48,2011-01-02,Musim Semi,2011,Januari,Sabtu,23,Malam,Tidak,Tidak,Cerah/Berawan,9.02,11.365,Dingin,47.0,Nyaman,11.0014,Sepoi Sepoi,0,8,8
47,49,2011-01-03,Musim Semi,2011,Januari,Minggu,0,Dini Hari,Tidak,Ya,Cerah/Berawan,9.02,9.85,Dingin,44.0,Nyaman,23.9994,Sedang,0,5,5
48,50,2011-01-03,Musim Semi,2011,Januari,Minggu,1,Dini Hari,Tidak,Ya,Cerah/Berawan,8.200000000000001,8.334999999999999,Dingin,44.0,Nyaman,27.999299999999998,Sedang,0,2,2
17380,51,2011-01-03,Musim Semi,2011,Januari,Minggu,2,Dini Hari,Tidak,Ya,Cerah/Berawan,8.200000000000001,8.334999999999999,Dingin,44.0,Nyaman,27.999299999999998,Sedang,3,6,10
17381,52,2011-01-03,Musim Semi,2011,Januari,Minggu,3,Dini Hari,Tidak,Ya,Cerah/Berawan,8.200000000000001,8.334999999999999,Dingin,44.0,Nyaman,27.999299999999998,Sedang,1,3,5
49,53,2011-01-03,Musim Semi,2011,Januari,Minggu,4,Dini Hari,Tidak,Ya,Cerah/Berawan,6.5600000000000005,6.819999999999999,Dingin,47.0,Nyaman,26.0027,Sedang,0,1,1
50,54,2011-01-03,Musim Semi,2011,Januari,Minggu,5,Dini Hari,Tidak,Ya,Cerah/Berawan,6.5600000000000005,6.819999999999999,Dingin,47.0,Nyaman,19.0012,Sepoi Sepoi,0,3,3
51,55,2011-01-03,Musim Semi,2011,Januari,Minggu,6,Pagi,Tidak,Ya,Cerah/Berawan,5.74,5.305,Dingin,50.0,Nyaman,26.0027,Sedang,0,30,30
52,56,2011-01-03,Musim Semi,2011,Januari,Minggu,7,Pagi,Tidak,Ya,Cerah/Berawan,5.74,6.819999999999999,Dingin,50.0,Nyaman,12.998000000000001,Sepoi Sepoi,1,63,64
53,57,2011-01-03,Musim Semi,2011,Januari,Minggu,8,Pagi,Tidak,Ya,Cerah/Berawan,5.74,6.0600000000000005,Dingin,50.0,Nyaman,19.0012,Sepoi Sepoi,1,153,154
54,58,2011-01-03,Musim Semi,2011,Januari,Minggu,9,Pagi,Tidak,Ya,Cerah/Berawan,6.5600000000000005,6.819999999999999,Dingin,43.0,Nyaman,26.0027,Sedang,7,81,88
55,59,2011-01-03,Musim Semi,2011,Januari,Minggu,10,Pagi,Tidak,Ya,Cerah/Berawan,7.38,8.334999999999999,Dingin,43.0,Nyaman,16.997899999999998,Sepoi Sepoi,11,33,44
56,60,2011-01-03,Musim Semi,2011,Januari,Minggu,11,Pagi,Tidak,Ya,Cerah/Berawan,8.200000000000001,9.09,Dingin,40.0,Kering,22.0028,Sedang,10,41,51
57,61,2011-01-03,Musim Semi,2011,Januari,Minggu,12,Siang,Tidak,Ya,Cerah/Berawan,9.02,10.605,Dingin,35.0,Kering,19.999499999999998,Sepoi Sepoi,13,48,61
58,62,2011-01-03,Musim Semi,2011,Januari,Minggu,13,Siang,Tidak,Ya,Cerah/Berawan,9.84,10.605,Dingin,35.0,Kering,19.0012,Sepoi Sepoi,8,53,61
59,63,2011-01-03,Musim Semi,2011,Januari,Minggu,14,Siang,Tidak,Ya,Cerah/Berawan,10.66,12.120000000000001,Dingin,30.0,Kering,19.0012,Sepoi Sepoi,11,66,77
60,64,2011-01-03,Musim Semi,2011,Januari,Minggu,15,Siang,Tidak,Ya,Cerah/Berawan,10.66,12.120000000000001,Dingin,30.0,Kering,16.997899999999998,Sepoi Sepoi,14,58,72
61,65,2011-01-03,Musim Semi,2011,Januari,Minggu,16,Sore,Tidak,Ya,Cerah/Berawan,10.66,12.120000000000001,Dingin,30.0,Kering,16.997899999999998,Sepoi Sepoi,9,67,76
62,66,2011-01-03,Musim Semi,2011,Januari,Minggu,17,Sore,Tidak,Ya,Cerah/Berawan,9.84,11.365,Dingin,30.0,Kering,15.001299999999999,Sepoi Sepoi,11,146,157
63,67,2011-01-03,Musim Semi,2011,Januari,Minggu,18,Sore,Tidak,Ya,Cerah/Berawan,9.84,12.879999999999999,Dingin,32.0,Kering,7.0015,Tenang,9,148,157
64,68,2011-01-03,Musim Semi,2011,Januari,Minggu,19,Malam,Tidak,Ya,Cerah/Berawan,8.200000000000001,12.879999999999999,Dingin,47.0,Nyaman,0.0,Tenang,8,102,110
65,69,2011-01-03,Musim Semi,2011,Januari,Minggu,20,Malam,Tidak,Ya,Cerah/Berawan,8.200000000000001,11.365,Dingin,47.0,Nyaman,7.0015,Tenang,3,49,52
66,70,2011-01-03,Musim Semi,2011,Januari,Minggu,21,Malam,Tidak,Ya,Cerah/Berawan,7.38,9.85,Dingin,64.0,Lembap,8.9981,Tenang,3,49,52
67,71,2011-01-03,Musim Semi,2011,Januari,Minggu,22,Malam,Tidak,Ya,Cerah/Berawan,5.74,7.575,Dingin,69.0,Lembap,8.9981,Tenang,0,20,20
68,72,2011-01-03,Musim Semi,2011,Januari,Minggu,23,Malam,Tidak,Ya,Cerah/Berawan,7.38,10.605,Dingin,55.00000000000001,Nyaman,7.0015,Tenang,1,11,12
69,73,2011-01-04,Musim Semi,2011,Januari,Senin,0,Dini Hari,Tidak,Ya,Cerah/Berawan,6.5600000000000005,9.09,Dingin,55.00000000000001,Nyaman,7.0015,Tenang,0,5,5
70,74,2011-01-04,Musim Semi,2011,Januari,Senin,1,Dini Hari,Tidak,Ya,Cerah/Berawan,6.5600000000000005,9.09,Dingin,59.0,Nyaman,7.0015,Tenang,0,2,2
71,75,2011-01-04,Musim Semi,2011,Januari,Senin,2,Dini Hari,Tidak,Ya,Cerah/Berawan,5.74,7.575,Dingin,63.0,Lembap,8.9981,Tenang,0,1,1
17382,76,2011-01-04,Musim Semi,2011,Januari,Senin,3,Dini Hari,Tidak,Ya,Cerah/Berawan,5.74,7.575,Dingin,63.0,Lembap,8.9981,Tenang,0,3,4
72,77,2011-01-04,Musim Semi,2011,Januari,Senin,4,Dini Hari,Tidak,Ya,Cerah/Berawan,5.74,9.09,Dingin,63.0,Lembap,6.0032,Tenang,0,2,2
73,78,2011-01-04,Musim Semi,2011,Januari,Senin,5,Dini Hari,Tidak,Ya,Cerah/Berawan,4.92,7.575,Dingin,68.0,Lembap,7.0015,Tenang,0,4,4
74,79,2011-01-04,Musim Semi,2011,Januari,Senin,6,Pagi,Tidak,Ya,Cerah/Berawan,4.92,7.575,Dingin,74.0,Lembap,7.0015,Tenang,0,36,36
75,80,2011-01-04,Musim Semi,2011,Januari,Senin,7,Pagi,Tidak,Ya,Cerah/Berawan,4.92,7.575,Dingin,74.0,Lembap,8.9981,Tenang,2,92,94
76,81,2011-01-04,Musim Semi,2011,Januari,Senin,8,Pagi,Tidak,Ya,Cerah/Berawan,5.74,7.575,Dingin,69.0,Lembap,11.0014,Sepoi Sepoi,2,177,179
77,82,2011-01-04,Musim Semi,2011,Januari,Senin,9,Pagi,Tidak,Ya,Cerah/Berawan,6.5600000000000005,7.575,Dingin,64.0,Lembap,15.001299999999999,Sepoi Sepoi,2,98,100
78,83,2011-01-04,Musim Semi,2011,Januari,Senin,10,Pagi,Tidak,Ya,Kabut/Berawan,6.5600000000000005,6.819999999999999,Dingin,69.0,Lembap,22.0028,Sedang,5,37,42
79,84,2011-01-04,Musim Semi,2011,Januari,Senin,11,Pagi,Tidak,Ya,Cerah/Berawan,9.02,10.605,Dingin,51.0,Nyaman,19.999499999999998,Sepoi Sepoi,7,50,57
80,85,2011-01-04,Musim Semi,2011,Januari,Senin,12,Siang,Tidak,Ya,Cerah/Berawan,9.02,11.365,Dingin,51.0,Nyaman,11.0014,Sepoi Sepoi,12,66,78
81,86,2011-01-04,Musim Semi,2011,Januari,Senin,13,Siang,Tidak,Ya,Cerah/Berawan,9.84,11.365,Dingin,56.00000000000001,Nyaman,12.998000000000001,Sepoi Sepoi,18,79,97
82,87,2011-01-04,Musim Semi,2011,Januari,Senin,14,Siang,Tidak,Ya,Cerah/Berawan,10.66,12.879999999999999,Dingin,52.0,Nyaman,15.001299999999999,Sepoi Sepoi,9,54,63
83,88,2011-01-04,Musim Semi,2011,Januari,Senin,15,Siang,Tidak,Ya,Cerah/Berawan,11.48,13.635,Dingin,52.0,Nyaman,16.997899999999998,Sepoi Sepoi,17,48,65
84,89,2011-01-04,Musim Semi,2011,Januari,Senin,16,Sore,Tidak,Ya,Cerah/Berawan,12.299999999999999,14.395,Dingin,49.0,Nyaman,16.997899999999998,Sepoi Sepoi,15,68,83
85,90,2011-01-04,Musim Semi,2011,Januari,Senin,17,Sore,Tidak,Ya,Cerah/Berawan,11.48,13.635,Dingin,48.0,Nyaman,15.001299999999999,Sepoi Sepoi,10,202,212
86,91,2011-01-04,Musim Semi,2011,Januari,Senin,18,Sore,Tidak,Ya,Cerah/Berawan,10.66,12.879999999999999,Dingin,48.0,Nyaman,12.998000000000001,Sepoi Sepoi,3,179,182
87,92,2011-01-04,Musim Semi,2011,Januari,Senin,19,Malam,Tidak,Ya,Cerah/Berawan,9.84,12.879999999999999,Dingin,48.0,Nyaman,7.0015,Tenang,2,110,112
88,93,2011-01-04,Musim Semi,2011,Januari,Senin,20,Malam,Tidak,Ya,Cerah/Berawan,9.84,12.879999999999999,Dingin,48.0,Nyaman,7.0015,Tenang,1,53,54
89,94,2011-01-04,Musim Semi,2011,Januari,Senin,21,Malam,Tidak,Ya,Cerah/Berawan,9.02,13.635,Dingin,64.0,Lembap,0.0,Tenang,0,48,48
90,95,2011-01-04,Musim Semi,2011,Januari,Senin,22,Malam,Tidak,Ya,Cerah/Berawan,9.02,12.879999999999999,Dingin,64.0,Lembap,6.0032,Tenang,1,34,35
